Order_ID,Customer_ID,Product_ID,Order_Date,Quantity,Discount,Unit_Price,Sales,Profit,Payment_Mode,Sales_Channel,Ship_Mode,Category
50020,43,1030,2026-08-24,2,0.05,8425.83,16009.08,-1276.95,UPI,Mobile App,Express,Furniture
50021,117,1054,2025-05-05,2,0.1,28828.67,51891.61,6820.0,Cash on Delivery,Mobile App,Express,Office Equipment
50022,126,1007,2025-02-28,1,0.0,3195.83,3195.83,422.98,UPI,Mobile App,Same Day,Accessories
50023,7,1015,2026-02-24,2,0.15,8390.1,14263.17,1898.7,Debit Card,Mobile App,Standard,Storage
50024,16,1016,2026-06-25,4,0.0,2337.23,9348.92,1491.11,Cash on Delivery,Website,Standard,Storage
50025,100,1009,2025-03-21,3,0.05,20536.09,58527.86,6358.84,UPI,Marketplace,Standard,Furniture
50026,150,1018,2026-03-17,5,0.2,3998.59,15994.36,4443.87,UPI,Website,Standard,Accessories
50027,4,1019,2025-12-03,1,0.05,3726.15,3539.84,751.88,Debit Card,Store,Express,Bags
50028,100,1046,2026-06-02,1,0.1,1557.14,1401.43,224.04,UPI,Website,Standard,Accessories
50029,21,1019,2025-03-21,2,0.2,3726.15,5961.84,951.33,Debit Card,Mobile App,Standard,Bags
50030,98,1053,2026-08-31,1,0.2,453.24,362.59,113.34,Debit Card,Mobile App,Standard,Stationery
50031,94,1047,2026-01-21,2,0.05,2167.3,4117.87,1027.7,Debit Card,Marketplace,Standard,Accessories
50032,14,1055,2026-06-09,5,0.05,15982.2,75915.45,13749.41,Credit Card,Website,Express,Storage
50033,103,1007,2025-08-14,1,0.0,3195.83,3195.83,576.94,Debit Card,Store,Standard,Accessories
50034,135,1060,2026-08-11,2,0.05,25984.19,49369.96,6774.71,Debit Card,Mobile App,Express,Furniture
50035,130,1037,2026-01-26,3,0.2,2643.15,6343.56,842.74,UPI,Mobile App,Express,Networking
50036,5,1059,2025-03-21,1,0.05,2989.86,2840.37,586.22,Credit Card,Mobile App,Express,Bags
50037,37,1022,2026-07-29,5,0.0,70964.21,354821.05,69189.41,Cash on Delivery,Website,Standard,Electronics
50038,37,1058,2026-05-11,1,0.0,3369.95,3369.95,704.44,Debit Card,Mobile App,Express,Accessories
50039,68,1036,2025-07-07,4,0.05,2828.09,10746.74,1604.34,Credit Card,Website,Standard,Storage
50040,22,1005,2025-12-06,3,0.0,4966.96,14900.88,2112.0,UPI,Website,Standard,Electronics
50041,129,1025,2025-08-30,1,0.2,9587.13,7669.7,893.96,UPI,Mobile App,Express,Electronics
50042,117,1009,2025-12-05,3,0.05,20536.09,58527.86,4463.47,UPI,Mobile App,Express,Furniture
50043,122,1057,2026-08-25,1,0.0,6035.46,6035.46,1184.27,UPI,Website,Standard,Networking
50044,30,1019,2026-07-15,2,0.0,3726.15,7452.3,1764.15,Cash on Delivery,Website,Express,Bags
50045,3,1014,2025-05-15,5,0.15,18785.33,79837.65,-2032.22,UPI,Website,Standard,Office Equipment
50046,137,1034,2026-08-29,5,0.2,25181.87,100727.48,12931.51,Net Banking,Website,Standard,Office Equipment
50047,44,1026,2025-09-30,4,0.15,5311.67,18059.68,2847.85,UPI,Mobile App,Same Day,Accessories
50048,99,1006,2026-03-16,2,0.0,2599.47,5198.94,1005.49,UPI,Website,Standard,Accessories
50049,137,1049,2026-04-22,2,0.0,14177.38,28354.76,2733.13,Credit Card,Marketplace,Express,Furniture
50050,6,1051,2025-10-28,1,0.0,10450.86,10450.86,893.89,UPI,Website,Standard,Furniture
50051,1,1045,2025-10-12,5,0.15,2649.49,11260.33,2073.21,Net Banking,Website,Express,Electronics
50052,1,1038,2025-10-12,2,0.15,1215.75,2066.78,455.78,Cash on Delivery,Marketplace,Express,Accessories
50053,24,1025,2026-06-22,4,0.15,9587.13,32596.24,4771.13,Cash on Delivery,Website,Express,Electronics
50054,8,1033,2025-08-29,1,0.0,477.24,477.24,136.8,UPI,Mobile App,Standard,Stationery
50055,123,1032,2025-06-24,3,0.0,241.73,725.19,203.57,Net Banking,Store,Express,Stationery
50056,91,1010,2025-08-14,1,0.2,14618.21,11694.57,1169.49,UPI,Store,Standard,Furniture
50057,148,1005,2025-05-02,3,0.2,4966.96,11920.7,1642.61,Cash on Delivery,Marketplace,Same Day,Electronics
50058,121,1016,2025-09-01,1,0.1,2337.23,2103.51,356.22,Credit Card,Website,Standard,Storage
50059,145,1028,2025-03-13,1,0.0,6048.55,6048.55,1326.4,UPI,Mobile App,Standard,Accessories
50060,36,1010,2025-02-25,1,0.0,14618.21,14618.21,1728.88,UPI,Store,Express,Furniture
50061,44,1007,2026-03-27,2,0.0,3195.83,6391.66,1170.72,UPI,Store,Standard,Accessories
50062,128,1052,2025-02-18,3,0.1,206.78,558.31,94.81,UPI,Website,Standard,Stationery
50063,37,1023,2025-12-20,1,0.15,33930.89,28841.26,3869.99,Cash on Delivery,Mobile App,Express,Electronics
50064,9,1036,2026-05-01,1,0.1,2828.09,2545.28,437.56,Net Banking,Website,Standard,Storage
50065,101,1032,2026-03-28,1,0.0,241.73,241.73,33.89,Cash on Delivery,Website,Standard,Stationery
50066,121,1045,2025-10-05,2,0.15,2649.49,4504.13,650.93,UPI,Marketplace,Standard,Electronics
50067,146,1045,2025-05-01,2,0.0,2649.49,5298.98,-617.64,Debit Card,Website,Standard,Electronics
50068,140,1018,2026-08-03,3,0.15,3998.59,10196.4,3173.61,UPI,Website,Standard,Accessories
50069,19,1051,2026-06-05,1,0.2,10450.86,8360.69,840.53,Credit Card,Website,Standard,Furniture
50070,116,1023,2026-01-17,2,0.1,33930.89,61075.6,6998.83,UPI,Mobile App,Standard,Electronics
50071,127,1051,2025-02-24,3,0.2,10450.86,25082.06,2085.62,UPI,Website,Standard,Furniture
50072,105,1025,2025-01-22,4,0.05,9587.13,36431.09,4953.43,Debit Card,Mobile App,Standard,Electronics
50073,123,1007,2025-07-16,2,0.05,3195.83,6072.08,1268.47,UPI,Website,Express,Accessories
50074,126,1046,2025-04-09,4,0.0,1557.14,6228.56,1023.37,Credit Card,Store,Express,Accessories
50075,67,1002,2026-06-21,1,0.2,20805.41,16644.33,2080.49,Debit Card,Website,Standard,Electronics
50076,7,1047,2025-05-09,3,0.1,2167.3,5851.71,660.88,UPI,Mobile App,Standard,Accessories
50077,69,1003,2025-06-26,1,0.0,19839.12,19839.12,3104.71,Cash on Delivery,Website,Express,Electronics
50078,31,1013,2026-08-31,1,0.2,498.28,398.62,79.45,Credit Card,Website,Standard,Stationery
50079,18,1037,2026-05-25,4,0.0,2643.15,10572.6,1783.64,Net Banking,Website,Standard,Networking
50080,19,1057,2025-05-17,2,0.05,6035.46,11467.37,1337.57,Debit Card,Website,Standard,Networking
50081,105,1025,2025-08-27,2,0.0,9587.13,19174.26,2173.3,Debit Card,Website,Standard,Electronics
50082,76,1008,2025-11-18,2,0.1,3937.51,7087.52,1330.31,Debit Card,Mobile App,Express,Accessories
50083,81,1014,2026-02-18,3,0.05,18785.33,53538.19,7476.73,Cash on Delivery,Mobile App,Express,Office Equipment
50084,112,1054,2026-08-07,1,0.05,28828.67,27387.24,4238.88,Debit Card,Website,Express,Office Equipment
50085,83,1044,2026-06-27,1,0.1,25839.3,23255.37,3980.33,UPI,Mobile App,Standard,Electronics
50086,95,1007,2026-09-01,1,0.15,3195.83,2716.46,630.87,UPI,Mobile App,Standard,Accessories
50087,13,1024,2025-01-26,4,0.05,42433.6,161247.68,25399.4,Debit Card,Website,Standard,Electronics
50088,128,1016,2025-05-28,1,0.2,2337.23,1869.78,443.63,UPI,Website,Standard,Storage
50089,68,1011,2025-12-17,2,0.05,11263.8,21401.22,2649.19,UPI,Website,Standard,Furniture
50090,24,1051,2025-01-31,2,0.0,10450.86,20901.72,2280.62,UPI,Website,Express,Furniture
50091,122,1038,2025-08-10,1,0.0,1215.75,1215.75,297.13,Credit Card,Mobile App,Standard,Accessories
50092,111,1011,2025-04-06,2,0.0,11263.8,22527.6,3063.01,UPI,Store,Express,Furniture
50093,8,1040,2026-08-05,1,0.1,24809.39,22328.45,2806.58,Debit Card,Store,Standard,Furniture
50094,29,1025,2025-02-09,1,0.05,9587.13,9107.77,805.11,Net Banking,Store,Standard,Electronics
50095,3,1004,2025-04-03,1,0.0,20837.66,20837.66,2207.42,Net Banking,Mobile App,Express,Electronics
50096,41,1027,2025-05-02,4,0.05,1401.54,5325.85,1000.76,UPI,Website,Express,Accessories
50097,15,1012,2025-04-03,2,0.15,390.94,664.6,186.86,Credit Card,Website,Standard,Stationery
50098,107,1015,2025-12-21,5,0.05,8390.1,39852.98,7139.85,Credit Card,Website,Standard,Storage
50099,79,1053,2025-08-15,2,0.0,453.24,906.48,271.97,Credit Card,Website,Standard,Stationery
50100,148,1043,2026-07-23,1,0.0,16033.91,16033.91,2687.54,Debit Card,Website,Standard,Electronics
50101,113,1009,2025-06-12,2,0.05,20536.09,39018.57,5424.36,UPI,Mobile App,Standard,Furniture
50102,92,1052,2025-12-01,5,0.05,206.78,982.2,298.25,Cash on Delivery,Website,Standard,Stationery
50103,77,1035,2026-02-16,2,0.15,12594.51,21410.67,2974.69,UPI,Website,Standard,Storage
50104,9,1053,2026-01-25,1,0.05,453.24,430.58,114.31,Net Banking,Marketplace,Standard,Stationery
50105,11,1045,2026-05-12,1,0.15,2649.49,2252.07,253.64,Debit Card,Website,Express,Electronics
50106,93,1021,2025-05-06,5,0.05,49224.66,233817.14,19368.64,UPI,Marketplace,Express,Electronics
50107,1,1033,2025-11-13,2,0.0,477.24,954.48,214.59,Net Banking,Website,Standard,Stationery
50108,7,1032,2026-05-14,5,0.1,241.73,1087.78,337.15,UPI,Mobile App,Standard,Stationery
50109,33,1044,2026-06-22,2,0.05,25839.3,49094.67,7029.24,Net Banking,Website,Standard,Electronics
50110,133,1015,2026-01-20,1,0.1,8390.1,7551.09,1962.57,Debit Card,Mobile App,Express,Storage
50111,69,1020,2026-02-11,4,0.0,9187.2,36748.8,4199.98,UPI,Website,Express,Furniture
50112,107,1015,2026-06-23,4,0.1,8390.1,30204.36,8364.58,UPI,Website,Express,Storage
50113,62,1018,2026-01-25,3,0.0,3998.59,11995.77,2492.85,Net Banking,Mobile App,Standard,Accessories
50114,26,1010,2026-08-15,5,0.15,14618.21,62127.39,6867.81,UPI,Website,Standard,Furniture
50115,56,1003,2025-03-21,1,0.15,19839.12,16863.25,1575.19,Cash on Delivery,Website,Standard,Electronics
50116,14,1057,2025-08-05,5,0.05,6035.46,28668.44,6064.38,Net Banking,Store,Standard,Networking
50117,116,1005,2025-03-11,1,0.2,4966.96,3973.57,459.5,Debit Card,Website,Express,Electronics
50118,28,1054,2025-02-26,5,0.05,28828.67,136936.18,16442.05,UPI,Mobile App,Standard,Office Equipment
50119,57,1001,2025-10-22,1,0.0,58323.17,58323.17,9719.16,Debit Card,Mobile App,Standard,Electronics
50120,148,1047,2025-05-21,2,0.05,2167.3,4117.87,1033.43,Cash on Delivery,Website,Standard,Accessories
50121,89,1020,2025-09-11,4,0.15,9187.2,31236.48,4291.76,UPI,Mobile App,Standard,Furniture
50122,69,1032,2025-09-30,1,0.0,241.73,241.73,53.39,UPI,Website,Standard,Stationery
50123,82,1017,2026-01-22,1,0.0,6802.55,6802.55,1143.46,UPI,Marketplace,Standard,Networking
50124,118,1030,2026-08-13,4,0.0,8425.83,33703.32,3658.55,Credit Card,Website,Express,Furniture
50125,39,1028,2026-06-14,1,0.15,6048.55,5141.27,1205.27,Net Banking,Website,Express,Accessories
50126,96,1032,2025-08-24,2,0.05,241.73,459.29,147.9,Credit Card,Website,Express,Stationery
50127,131,1024,2025-07-22,5,0.2,42433.6,169734.4,23852.6,Debit Card,Store,Express,Electronics
50128,86,1033,2026-04-26,2,0.15,477.24,811.31,279.31,UPI,Marketplace,Express,Stationery
50129,67,1050,2025-03-19,2,0.05,23722.8,45073.32,5936.7,UPI,Store,Standard,Furniture
50130,22,1027,2025-12-03,2,0.1,1401.54,2522.77,478.49,UPI,Mobile App,Standard,Accessories
50131,38,1022,2025-09-21,3,0.0,70964.21,212892.63,32721.84,Cash on Delivery,Mobile App,Standard,Electronics
50132,142,1008,2025-04-24,2,0.0,3937.51,7875.02,2166.11,Debit Card,Mobile App,Standard,Accessories
50133,82,1022,2026-01-20,2,0.05,70964.21,134832.0,25233.95,Credit Card,Store,Standard,Electronics
50134,46,1008,2025-07-19,1,0.05,3937.51,3740.63,943.47,Net Banking,Mobile App,Standard,Accessories
50135,63,1011,2025-04-26,3,0.0,11263.8,33791.4,3738.05,UPI,Website,Express,Furniture
50136,87,1058,2026-02-11,3,0.0,3369.95,10109.85,1925.58,UPI,Mobile App,Standard,Accessories
50137,81,1006,2025-04-19,3,0.0,2599.47,7798.41,1757.35,UPI,Mobile App,Standard,Accessories
50138,105,1029,2026-02-24,1,0.1,15282.9,13754.61,2070.21,Cash on Delivery,Website,Standard,Furniture
50139,39,1051,2025-04-11,3,0.2,10450.86,25082.06,3022.32,Debit Card,Mobile App,Standard,Furniture
50140,98,1058,2025-09-28,3,0.15,3369.95,8593.37,1890.54,Debit Card,Website,Express,Accessories
50141,67,1009,2026-05-19,1,0.05,20536.09,19509.29,2170.29,UPI,Marketplace,Standard,Furniture
50142,142,1010,2025-05-23,4,0.05,14618.21,55549.2,5669.63,UPI,Website,Express,Furniture
50143,24,1023,2026-04-24,2,0.2,33930.89,54289.42,6805.88,Debit Card,Marketplace,Express,Electronics
50144,23,1034,2026-03-26,2,0.05,25181.87,47845.55,6897.95,Credit Card,Mobile App,Standard,Office Equipment
50145,70,1058,2026-07-17,3,0.0,3369.95,10109.85,2786.24,Cash on Delivery,Marketplace,Standard,Accessories
50146,77,1013,2025-04-16,2,0.0,498.28,996.56,226.56,Net Banking,Website,Standard,Stationery
50147,104,1010,2026-03-22,2,0.1,14618.21,26312.78,2927.91,Credit Card,Store,Standard,Furniture
50148,61,1016,2026-08-07,1,0.05,2337.23,2220.37,323.58,Net Banking,Mobile App,Standard,Storage
50149,138,1053,2026-04-21,5,0.15,453.24,1926.27,535.19,Cash on Delivery,Website,Same Day,Stationery
50150,72,1002,2025-04-28,5,0.15,20805.41,88422.99,14951.18,Credit Card,Website,Standard,Electronics
50151,20,1023,2026-05-28,1,0.0,33930.89,33930.89,5987.47,Debit Card,Website,Express,Electronics
50152,18,1008,2025-03-08,3,0.1,3937.51,10631.28,2221.39,Cash on Delivery,Website,Standard,Accessories
50153,147,1010,2026-01-02,1,0.0,14618.21,14618.21,1811.19,UPI,Marketplace,Same Day,Furniture
50154,21,1056,2025-11-07,1,0.05,2092.68,1988.05,345.76,Cash on Delivery,Store,Standard,Storage
50155,143,1001,2025-11-27,5,0.0,58323.17,291615.85,42313.85,UPI,Mobile App,Standard,Electronics
50156,42,1020,2025-11-20,1,0.0,9187.2,9187.2,1080.4,Debit Card,Mobile App,Standard,Furniture
50157,15,1055,2025-01-20,2,0.0,15982.2,31964.4,5827.34,Net Banking,Mobile App,Standard,Storage
50158,46,1037,2025-11-13,1,0.0,2643.15,2643.15,462.95,Debit Card,Marketplace,Express,Networking
50159,93,1005,2026-08-07,3,0.15,4966.96,12665.75,1810.25,Credit Card,Marketplace,Standard,Electronics
50160,65,1028,2025-09-30,2,0.0,6048.55,12097.1,2262.85,Debit Card,Website,Standard,Accessories
50161,118,1059,2025-06-22,2,0.05,2989.86,5680.73,1021.76,UPI,Store,Standard,Bags
50162,92,1025,2026-09-12,5,0.0,9587.13,47935.65,8572.36,UPI,Mobile App,Standard,Electronics
50163,61,1032,2025-03-03,2,0.0,241.73,483.46,185.22,UPI,Marketplace,Standard,Stationery
50164,96,1032,2025-10-30,3,0.0,241.73,725.19,127.93,Debit Card,Store,Standard,Stationery
50165,146,1040,2025-11-16,1,0.2,24809.39,19847.51,1578.29,Credit Card,Marketplace,Standard,Furniture
50166,62,1012,2025-10-25,1,0.2,390.94,312.75,59.25,UPI,Website,Standard,Stationery
50167,24,1051,2026-07-29,5,0.05,10450.86,49641.58,5336.49,Cash on Delivery,Mobile App,Standard,Furniture
50168,62,1060,2025-09-20,4,0.05,25984.19,98739.92,13001.86,Credit Card,Website,Same Day,Furniture
50169,127,1009,2026-08-30,3,0.2,20536.09,49286.62,6126.74,Credit Card,Marketplace,Standard,Furniture
50170,33,1050,2025-02-11,2,0.0,23722.8,47445.6,5416.54,Credit Card,Website,Express,Furniture
50171,143,1050,2026-04-03,1,0.2,23722.8,18978.24,2330.53,UPI,Marketplace,Standard,Furniture
50172,89,1045,2026-01-05,4,0.0,2649.49,10597.96,1167.96,Net Banking,Store,Standard,Electronics
50173,91,1023,2025-05-30,4,0.0,33930.89,135723.56,16696.45,Credit Card,Website,Standard,Electronics
50174,48,1029,2025-05-23,1,0.0,15282.9,15282.9,1673.69,UPI,Mobile App,Standard,Furniture
50175,139,1051,2026-03-25,2,0.0,10450.86,20901.72,1497.86,Cash on Delivery,Mobile App,Standard,Furniture
50176,6,1010,2026-02-02,2,0.15,14618.21,24850.96,2035.2,Net Banking,Mobile App,Standard,Furniture
50177,45,1050,2026-01-16,2,0.15,23722.8,40328.76,3341.56,Debit Card,Website,Standard,Furniture
50178,63,1056,2025-02-01,5,0.05,2092.68,9940.23,2090.02,Cash on Delivery,Website,Same Day,Storage
50179,72,1041,2026-01-08,1,0.15,61681.89,52429.61,7183.76,Cash on Delivery,Mobile App,Standard,Electronics
50180,72,1021,2026-09-04,1,0.15,49224.66,41840.96,6170.55,UPI,Mobile App,Standard,Electronics
50181,23,1034,2025-01-11,1,0.15,25181.87,21404.59,1783.83,Debit Card,Mobile App,Standard,Office Equipment
50182,34,1004,2025-10-20,3,0.15,20837.66,53136.03,4653.12,Debit Card,Website,Standard,Electronics
50183,15,1056,2025-11-04,3,0.05,2092.68,5964.14,1230.18,UPI,Mobile App,Express,Storage
50184,86,1021,2026-07-13,5,0.0,49224.66,246123.3,12436.62,UPI,Website,Standard,Electronics
50185,53,1004,2025-06-26,2,0.2,20837.66,33340.26,5501.96,UPI,Website,Standard,Electronics
50186,85,1048,2025-10-24,1,0.05,4559.9,4331.9,518.85,Debit Card,Marketplace,Standard,Accessories
50187,89,1040,2026-03-23,2,0.2,24809.39,39695.02,5176.59,Net Banking,Website,Standard,Furniture
50188,106,1038,2025-02-07,1,0.2,1215.75,972.6,156.49,Net Banking,Mobile App,Same Day,Accessories
50189,83,1004,2026-05-15,3,0.0,20837.66,62512.98,10001.99,UPI,Store,Standard,Electronics
50190,98,1046,2026-05-28,3,0.05,1557.14,4437.85,1514.01,UPI,Mobile App,Express,Accessories
50191,89,1039,2026-03-25,4,0.0,2825.6,11302.4,1073.52,Credit Card,Mobile App,Standard,Bags
50192,98,1048,2026-02-08,1,0.0,4559.9,4559.9,1051.5,Credit Card,Website,Same Day,Accessories
50193,93,1050,2026-04-11,1,0.2,23722.8,18978.24,1257.17,Cash on Delivery,Website,Standard,Furniture
50194,48,1013,2026-05-03,1,0.2,498.28,398.62,104.65,Cash on Delivery,Website,Standard,Stationery
50195,37,1013,2026-07-17,2,0.2,498.28,797.25,182.64,Cash on Delivery,Marketplace,Express,Stationery
50196,119,1056,2025-09-24,2,0.2,2092.68,3348.29,619.9,Cash on Delivery,Marketplace,Standard,Storage
50197,52,1032,2025-10-12,4,0.1,241.73,870.23,166.96,Cash on Delivery,Website,Standard,Stationery
50198,83,1027,2026-02-02,4,0.05,1401.54,5325.85,1248.08,Credit Card,Website,Same Day,Accessories
50199,30,1018,2025-05-01,1,0.2,3998.59,3198.87,435.92,UPI,Website,Standard,Accessories
50200,65,1039,2026-06-18,1,0.05,2825.6,2684.32,649.34,UPI,Mobile App,Express,Bags
50201,80,1046,2026-04-26,2,0.1,1557.14,2802.85,510.1,Credit Card,Mobile App,Express,Accessories
50202,94,1001,2026-01-29,1,0.0,58323.17,58323.17,5242.26,UPI,Marketplace,Express,Electronics
50203,79,1034,2025-07-07,1,0.1,25181.87,22663.68,4286.25,UPI,Store,Express,Office Equipment
50204,55,1060,2025-08-05,4,0.15,25984.19,88346.25,9574.11,Cash on Delivery,Website,Standard,Furniture
50205,145,1017,2025-09-28,3,0.1,6802.55,18366.89,4432.77,UPI,Mobile App,Standard,Networking
50206,77,1017,2026-02-17,2,0.05,6802.55,12924.84,2787.61,Cash on Delivery,Mobile App,Standard,Networking
50207,122,1053,2026-04-30,1,0.0,453.24,453.24,89.68,Net Banking,Website,Standard,Stationery
50208,111,1004,2026-02-23,4,0.0,20837.66,83350.64,10632.98,Debit Card,Store,Express,Electronics
50209,84,1024,2026-08-03,1,0.1,42433.6,38190.24,5096.93,Debit Card,Website,Standard,Electronics
50210,133,1028,2026-08-22,2,0.1,6048.55,10887.39,2908.65,UPI,Marketplace,Standard,Accessories
50211,20,1048,2026-03-16,4,0.15,4559.9,15503.66,3399.19,Debit Card,Marketplace,Standard,Accessories
50212,139,1008,2025-08-20,5,0.2,3937.51,15750.04,3272.18,UPI,Store,Standard,Accessories
50213,128,1027,2026-01-09,1,0.05,1401.54,1331.46,254.58,Cash on Delivery,Mobile App,Express,Accessories
50214,76,1010,2025-09-22,3,0.15,14618.21,37276.44,4054.8,UPI,Website,Standard,Furniture
50215,111,1048,2026-01-27,1,0.1,4559.9,4103.91,1056.35,UPI,Marketplace,Standard,Accessories
50216,79,1038,2026-05-21,1,0.0,1215.75,1215.75,243.35,Debit Card,Marketplace,Express,Accessories
50217,41,1030,2025-08-19,1,0.15,8425.83,7161.96,719.35,Debit Card,Mobile App,Same Day,Furniture
50218,120,1024,2025-11-12,5,0.0,42433.6,212168.0,24156.41,Credit Card,Marketplace,Standard,Electronics
50219,37,1010,2025-01-29,3,0.05,14618.21,41661.9,4024.49,Debit Card,Website,Same Day,Furniture
50220,48,1056,2026-04-04,2,0.2,2092.68,3348.29,416.79,UPI,Mobile App,Standard,Storage
50221,78,1039,2025-11-02,1,0.1,2825.6,2543.04,403.41,Debit Card,Marketplace,Express,Bags
50222,126,1020,2025-10-14,1,0.2,9187.2,7349.76,1074.99,UPI,Website,Standard,Furniture
50223,58,1025,2025-11-28,1,0.0,9587.13,9587.13,1189.68,UPI,Mobile App,Standard,Electronics
50224,75,1044,2025-05-15,1,0.05,25839.3,24547.34,3685.69,UPI,Store,Express,Electronics
50225,7,1044,2026-01-08,1,0.15,25839.3,21963.4,1298.2,UPI,Marketplace,Standard,Electronics
50226,18,1028,2026-04-10,3,0.1,6048.55,16331.08,3674.59,UPI,Marketplace,Standard,Accessories
50227,9,1019,2025-08-06,1,0.2,3726.15,2980.92,546.27,Credit Card,Mobile App,Standard,Bags
50228,11,1040,2025-03-23,1,0.05,24809.39,23568.92,2317.98,UPI,Store,Standard,Furniture
50229,131,1040,2025-08-29,2,0.1,24809.39,44656.9,5107.82,UPI,Website,Standard,Furniture
50230,127,1036,2025-05-04,1,0.05,2828.09,2686.69,430.85,Credit Card,Mobile App,Standard,Storage
50231,124,1005,2025-08-21,2,0.15,4966.96,8443.83,584.8,UPI,Mobile App,Standard,Electronics
50232,9,1029,2026-01-26,1,0.0,15282.9,15282.9,2022.21,Debit Card,Marketplace,Express,Furniture
50233,12,1037,2025-03-12,1,0.0,2643.15,2643.15,473.36,Cash on Delivery,Store,Same Day,Networking
50234,43,1058,2026-04-11,2,0.0,3369.95,6739.9,1254.88,Credit Card,Marketplace,Standard,Accessories
50235,85,1032,2025-05-20,3,0.1,241.73,652.67,123.35,Cash on Delivery,Mobile App,Standard,Stationery
50236,51,1021,2026-07-12,2,0.0,49224.66,98449.32,8659.81,UPI,Mobile App,Standard,Electronics
50237,74,1034,2026-04-02,2,0.0,25181.87,50363.74,7398.23,UPI,Mobile App,Standard,Office Equipment
50238,26,1011,2025-06-19,2,0.15,11263.8,19148.46,2853.99,Debit Card,Mobile App,Express,Furniture
50239,110,1006,2025-12-17,1,0.0,2599.47,2599.47,543.13,Net Banking,Website,Standard,Accessories
50240,48,1041,2025-03-10,1,0.0,61681.89,61681.89,5579.31,Net Banking,Mobile App,Standard,Electronics
50241,10,1060,2025-03-04,2,0.0,25984.19,51968.38,5999.64,UPI,Marketplace,Standard,Furniture
50242,112,1051,2026-08-19,1,0.0,10450.86,10450.86,1136.1,Net Banking,Marketplace,Standard,Furniture
50243,136,1036,2026-05-15,3,0.2,2828.09,6787.42,1453.97,Credit Card,Marketplace,Express,Storage
50244,3,1003,2025-04-07,2,0.05,19839.12,37694.33,5554.36,UPI,Mobile App,Express,Electronics
50245,66,1060,2025-06-26,1,0.2,25984.19,20787.35,784.58,UPI,Mobile App,Standard,Furniture
50246,125,1027,2025-05-04,1,0.0,1401.54,1401.54,313.93,Cash on Delivery,Website,Standard,Accessories
50247,106,1018,2025-09-04,1,0.0,3998.59,3998.59,623.17,UPI,Mobile App,Same Day,Accessories
50248,129,1054,2025-07-01,3,0.0,28828.67,86486.01,8320.88,Net Banking,Mobile App,Standard,Office Equipment
50249,63,1045,2025-07-24,4,0.05,2649.49,10068.06,1254.58,Debit Card,Website,Express,Electronics
50250,56,1045,2025-11-26,1,0.05,2649.49,2517.02,356.8,Net Banking,Website,Express,Electronics
50251,107,1017,2025-04-28,2,0.15,6802.55,11564.34,1256.31,Debit Card,Marketplace,Standard,Networking
50252,24,1060,2026-07-05,1,0.0,25984.19,25984.19,3301.31,Cash on Delivery,Mobile App,Express,Furniture
50253,36,1028,2026-03-30,2,0.15,6048.55,10282.54,2401.87,UPI,Mobile App,Standard,Accessories
50254,91,1032,2026-04-19,1,0.1,241.73,217.56,52.75,UPI,Website,Express,Stationery
